Lat,Long,B,Block,Lot,TaxClass,2010,2011,2012,2013,2014,2015,2016,Change,Percent_Change
40.6564097034,-73.9767031264,3.0,5256.0,1030.0,1A,486683.0,486683.0,477270.0,558409.0,82607.0,95429.0,95444,-391239.0,-80.3888773596
40.6564097034,-73.9767031264,3.0,5256.0,1031.0,1A,598960.0,598960.0,587384.0,687242.0,101665.0,117446.0,117455,-481505.0,-80.3901763056
40.6564097034,-73.9767031264,3.0,5256.0,1032.0,1A,611418.0,611418.0,599628.0,701568.0,103784.0,119894.0,119876,-491542.0,-80.3937731634
40.6564097034,-73.9767031264,3.0,5256.0,1033.0,1A,399280.0,399280.0,391562.0,458129.0,67772.0,78292.0,78300,-320980.0,-80.3897014626
40.6564097034,-73.9767031264,3.0,5256.0,1034.0,1A,661368.0,661368.0,648604.0,758871.0,112261.0,129687.0,129678,-531690.0,-80.3924592662
40.6564097034,-73.9767031264,3.0,5256.0,1035.0,1A,673866.0,673866.0,660849.0,773196.0,114380.0,132135.0,132139,-541727.0,-80.3909085783
40.6564097034,-73.9767031264,3.0,5256.0,1036.0,1A,411738.0,411738.0,403806.0,472455.0,69891.0,80740.0,80720,-331018.0,-80.3952999237
40.6564097034,-73.9767031264,3.0,5256.0,1037.0,1A,399280.0,399280.0,391562.0,458129.0,67772.0,78292.0,78300,-320980.0,-80.3897014626
40.6564097034,-73.9767031264,3.0,5256.0,1038.0,1A,349329.0,349329.0,342585.0,400827.0,59295.0,68499.0,68497,-280832.0,-80.3918369216
40.6564097034,-73.9767031264,3.0,5256.0,1039.0,1A,611418.0,611418.0,599628.0,701568.0,103784.0,119894.0,119876,-491542.0,-80.3937731634
40.6564097034,-73.9767031264,3.0,5256.0,1040.0,1A,586462.0,586462.0,575140.0,672917.0,99546.0,114998.0,114995,-471467.0,-80.3917389362
40.6564097034,-73.9767031264,3.0,5256.0,1041.0,1A,274505.0,274505.0,269204.0,314970.0,46594.0,53827.0,53826,-220679.0,-80.3916139961
40.6564097034,-73.9767031264,3.0,5256.0,1042.0,1A,274505.0,274505.0,269204.0,314970.0,46594.0,53827.0,53826,-220679.0,-80.3916139961
40.6564097034,-73.9767031264,3.0,5256.0,1043.0,1A,424195.0,424195.0,416008.0,486732.0,72003.0,83180.0,83174,-341021.0,-80.3925081625
40.6564097034,-73.9767031264,3.0,5256.0,1044.0,1A,424195.0,424195.0,416008.0,486732.0,72003.0,83180.0,83174,-341021.0,-80.3925081625
40.6564097034,-73.9767031264,3.0,5256.0,1045.0,1A,399280.0,399280.0,391562.0,458129.0,67772.0,78292.0,78300,-320980.0,-80.3897014626
40.6564097034,-73.9767031264,3.0,5256.0,1046.0,1A,299460.0,299460.0,293692.0,343621.0,50833.0,58723.0,58708,-240752.0,-80.3953783477
40.6564097034,-73.9767031264,3.0,5256.0,1047.0,1A,286962.0,286962.0,281406.0,329247.0,48706.0,56267.0,56281,-230681.0,-80.3872986667
40.6564097034,-73.9767031264,3.0,5256.0,1048.0,1A,286962.0,286962.0,281406.0,329247.0,48706.0,56267.0,56281,-230681.0,-80.3872986667
40.6564097034,-73.9767031264,3.0,5256.0,1049.0,1A,299460.0,299460.0,293692.0,343621.0,50833.0,58723.0,58708,-240752.0,-80.3953783477
40.6564097034,-73.9767031264,3.0,5256.0,1050.0,1A,586462.0,586462.0,575140.0,672917.0,99546.0,114998.0,114995,-471467.0,-80.3917389362
40.6564097034,-73.9767031264,3.0,5256.0,1051.0,1A,536512.0,536512.0,526164.0,615614.0,91069.0,105205.0,105193,-431319.0,-80.3931692115
40.6564097034,-73.9767031264,3.0,5256.0,1052.0,1A,598960.0,598960.0,587384.0,687242.0,101665.0,117446.0,117455,-481505.0,-80.3901763056
40.6564097034,-73.9767031264,3.0,5256.0,1053.0,1A,561508.0,561508.0,550652.0,644265.0,95307.0,110102.0,110114,-451394.0,-80.3895937369
40.6564097034,-73.9767031264,3.0,5256.0,1054.0,1A,561508.0,561508.0,550652.0,644265.0,95307.0,110102.0,110114,-451394.0,-80.3895937369
40.6564097034,-73.9767031264,3.0,5256.0,1055.0,1A,573966.0,573966.0,562896.0,658591.0,97427.0,112550.0,112535,-461431.0,-80.3934379388
40.6384112453,-73.9725730242,3.0,5390.0,60.0,1B,1250000.0,495000.0,495000.0,470000.0,478435.0,472000.0,514000,-736000.0,-58.88
40.6321223593,-73.9840648869,3.0,5437.0,24.0,1B,740000.0,368644.0,369000.0,346000.0,343666.0,313000.0,340000,-400000.0,-54.0540540541
40.6286327628,-73.978161066,3.0,5440.0,50.0,1B,965000.0,331200.0,331000.0,311000.0,308883.0,281000.0,306000,-659000.0,-68.2901554404
40.6288647196,-73.9874989502,3.0,5472.0,26.0,1B,3120000.0,460736.0,461000.0,432000.0,429147.0,391000.0,425000,-2695000.0,-86.3782051282
40.6232859553,-73.9783933631,3.0,5476.0,46.0,1B,580000.0,190900.0,191000.0,179000.0,177817.0,162000.0,176000,-404000.0,-69.6551724138
40.6283048449,-73.9880862752,3.0,5478.0,16.0,1B,759000.0,368000.0,368000.0,345000.0,342728.0,312000.0,340000,-419000.0,-55.2042160738
40.6283984704,-73.9914943019,3.0,5488.0,31.0,1B,2150000.0,460805.0,461000.0,438000.0,442845.0,420000.0,458000,-1692000.0,-78.6976744186
40.6226690972,-73.9826406434,3.0,5495.0,234.0,1B,1340000.0,623760.0,624000.0,585000.0,581116.0,530000.0,576000,-764000.0,-57.0149253731
40.6226690972,-73.9826406434,3.0,5495.0,310.0,1B,969000.0,193200.0,193000.0,181000.0,179825.0,164000.0,178000,-791000.0,-81.6305469556
40.6226690972,-73.9826406434,3.0,5495.0,1100.0,1B,3680000.0,1604940.0,1605000.0,1505000.0,1495038.0,1362000.0,1485000,-2195000.0,-59.6467391304
40.6226690972,-73.9826406434,3.0,5495.0,1149.0,1B,3810000.0,1993640.0,1994000.0,1869000.0,1856697.0,1692000.0,1844000,-1966000.0,-51.6010498688
40.6259390549,-73.9904282901,3.0,5497.0,77.0,1B,338000.0,171764.0,172000.0,161000.0,159944.0,146000.0,159000,-179000.0,-52.9585798817
40.6249976687,-73.9914010729,3.0,5510.0,35.0,1B,1900500.0,552920.0,553000.0,518000.0,514639.0,469000.0,510000,-1390500.0,-73.1649565904
40.6193314121,-73.9825190403,3.0,5514.0,1001.0,1A,370517.0,370517.0,363475.0,436170.0,481420.0,508354.0,0,-370517.0,-100.0
